University,Location
Tufts University,"Medford, United States"
Sun Yat-sen University,"Guangzhou, China"
Hong Kong Baptist University,"Hong Kong, Hong Kong SAR China"
Universit??t Innsbruck,"Innsbruck, Austria"
University of Tsukuba,"Tsukuba City, Japan"
National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan"
Technical University of Darmstadt,"Darmstadt, Germany"
University of Surrey,"Guildford, United Kingdom"
University of Canterbury | Te Whare W??nanga o Waitaha,"Christchurch, New Zealand"
University of Massachusetts Amherst,"Amherst, United States"
Massey University,"Palmerston North, New Zealand"
USI - Universit?? della Svizzera italiana,"Lugano, Switzerland"
The University of Arizona,"Tucson, United States"
Deakin University,"Burwood, Australia"
Indian Institute of Technology Madras (IITM),"Chennai, India"
Graz University of Technology,"Graz, Austria"
Universit?? de Paris,"Paris, France"
Beijing Normal University,"Beijing, China"
University of Ottawa,"Ottawa, Canada"
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia"
Bauman Moscow State Technical University,"Moscow, Russia"
University of Cologne,"Cologne, Germany"
United Arab Emirates University,"Al Ain, United Arab Emirates"
University of Tartu,"Tartu, Estonia"
University College Cork,"Cork, Ireland"
King Saud University,"Riyadh, Saudi Arabia"
Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain"
Universit?? Paris 1 Panth??on-Sorbonne,"Paris, France"
University of Turku,"Turku, Finland"
Dalhousie University,"Halifax, Canada"
ENS Paris-Saclay,"Cachan, France"
Technion - Israel Institute of Technology,"Haifa, Israel"
University of Miami,"Miami, United States"
Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea"
North Carolina State University,"Raleigh, United States"
University of South Australia,"Magill, Australia"
HSE University,"Moscow, Russia"
National Yang Ming University,"Taipei City, Taiwan"
University of Strathclyde,"Glasgow, United Kingdom"
Heriot-Watt University,"Edinburgh, United Kingdom"
University of Milan,"Milan, Italy"
Griffith University,"Nathan, Australia"
Xi?€?an Jiaotong University,"Xi'an, China"
Aalborg University,"Aalborg, Denmark"
Universitas Indonesia,"Depok, Indonesia"
Universit Paris-Saclay,"Gif-sur-Yvette, ?France"
Universit??t Mannheim,"Mannheim, Germany"
Politecnico di Torino,"Turin, Italy"
Royal Holloway University of London,"Egham, United Kingdom"
University of Tasmania,"Hobart, Australia"
Universidad Carlos III de Madrid (UC3M),"Madrid, Spain"
Goethe-University Frankfurt am Main,"Frankfurt, Germany"
Bandung Institute of Technology (ITB),"Bandung, Indonesia"
Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India"
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia"
Universitat Polit??cnica de Catalunya ?? BarcelonaTech (UPC),"Barcelona, Spain"
Belarusian State University,"Minsk, Belarus"
Friedrich-Alexander-Universit??t Erlangen-N??rnberg,"Erlangen, Germany"
University of Dundee,"Dundee, United Kingdom"
Indiana University Bloomington,"Bloomington, United States"
Hiroshima University,"Higashihiroshima City, Japan"
University of Warsaw,"Warsaw, Poland"
Simon Fraser University,"Burnaby, Canada"
Southern University of Science and Technology,"Shenzhen, China"
Universit??t Jena,"Jena, Germany"
Jagiellonian University,"Krakow, Poland"
Pontificia Universidad Cat??lica Argentina,"Buenos Aires, Argentina"
RUDN University,"Moscow, Russia"
Universitat Polit??cnica de Val??ncia,"Val??ncia, Spain"
Virginia Polytechnic Institute and State University,"Blacksburg, United States"
IE University,"Segovia, Spain"
National Taiwan Normal University,"Taipei City, Taiwan"
Ural Federal University - UrFU,"Ekaterinburg, Russia"
Ewha Womans University,"Seoul, South Korea"
Umea University,"Ume??, Sweden"
Universit??t Stuttgart,"Stuttgart, Germany"
University of East Anglia (UEA),"Norwich, United Kingdom"
University of Hawai??i at M??noa,"Honolulu, United States"
University of Jyv??skyl??,"Jyv??skyl??, Finland"
University of Utah,"Salt Lake City, United States"
Yeshiva University,"New York City, United States"
Universit?? Grenoble Alpes,"Grenoble, France"
"University of Chemistry and Technology, Prague","Prague, Czechia"
"Birkbeck, University of London","London, United Kingdom"
Ulm University,"Ulm, Germany"
SOAS University of London,"London, United Kingdom"
University at Buffalo SUNY,"Buffalo, United States"
American University of Sharjah,"Sharjah, United Arab Emirates"
MGIMO University,"Moscow, Russia"
"City, University of London","London, United Kingdom"
Indian Institute of Technology Kanpur (IITK),"Kanpur, India"
Universiti Teknologi Brunei,"Bandar Seri Begawan, Brunei"
George Washington University,"Ashburn, United States"
University of Southern Denmark (SDU),"Odense, Denmark"
National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan"
Westf??lische Wilhelms-Universit??t M??nster,"M??nster, Germany"
L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan"
University of Lisbon,"Lisbon , Portugal"
University of Porto,"Porto, Portugal"
ITMO University,"St. Petersburg, Russia"
Norwegian University of Science And Technology,"Trondheim, Norway"
Johannes Kepler University Linz,"Linz, Austria"
Link??ping University,"Link??ping, Sweden"
Northeastern University,"Boston, United States"
Tokyo Medical and Dental University (TMDU),"Tokyo, Japan"
University of Macau,
Brunel University London,
Tilburg University,"Tilburg, Netherlands"
Kazan (Volga region) Federal University,"Kazan, Russia"
University of Victoria (UVic),"Victoria, Canada"
Swinburne University of Technology,"Melbourne, Australia"
Pakistan Institute of Engineering and Applied Sciences (PIEAS),"Islamabad, Pakistan"
"Stony Brook University, State University of New York","Stony Brook, United States"
Sultan Qaboos University,"Muscat, Oman"
University of Waikato,"Hamilton , New Zealand"
Nankai University,"Tianjin, China"
Universidad de Palermo (UP),"Buenos Aires, Argentina"
Taylor's University,"Subang Jaya, Malaysia"
Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil"
University of Kent,"Canterbury, United Kingdom"
Wake Forest University,"Winston-Salem, United States"
Indian Institute of Technology Roorkee (IITR),"Roorkee, India"
Oxford Brookes University,
University of Pisa,"Pisa, Italy"
University of Kansas,"Lawrence, United States"
Lincoln University,"Lincoln, New Zealand"
Shanghai University,"Shanghai, China"
Taipei Medical University (TMU),"Taipei City, Taiwan"
Tianjin University,"Tianjin, China"
UCSI University,"Kuala Lumpur, Malaysia"
Beijing Institute of Technology,"Beijing, China"
HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea"
University of Naples - Federico II,"Naples, Italy"
Universit?? Vita-Salute San Raffaele,"Milan, Italy"
Huazhong University of Science and Technology,"Wuhan, China"
University of the Philippines,"Quezon City, Philippines"
La Trobe University,"Melbourne, Australia"
Universit?? de Strasbourg,"Strasbourg, France"
"University of Colorado, Denver","Denver, United States"
Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia"
National Research Tomsk Polytechnic University,Russia
Chung-Ang University (CAU),"Seoul, South Korea"
Johannes Gutenberg Universit??t Mainz,"Mainz, Germany"
Kobe University,"Kobe City, Japan"
University of Trento,"Trento, Italy"
University of Witwatersrand,"Johannesburg, South Africa"
University of Oulu,"Oulu, Finland"
Sharif University of Technology,"Tehran, Iran"
Tampere University,"Tampere, Finland"
The American University in Cairo,"Cairo, Egypt"
"Essex, University of","Colchester, United Kingdom"
Washington State University,"Pullman, United States"
Bond University,"Gold Coast, Australia"
Tulane University,"New Orleans, United States"
"Goldsmiths, University of London","London, United Kingdom"
National Sun Yat-sen University,"Kaohsiung City, Taiwan"
"University of California, Santa Cruz","Santa Cruz, United States"
University of Troms?? The Arctic University of Norway,"Troms??, Norway"
Universit?? Laval,"Qu??bec, Canada"
Universidade Federal de S??o Paulo,"S??o Paulo, Brazil"
University of Iowa,"Iowa City, United States"
Flinders University,"Adelaide, Australia"
Vilnius University,"Vilnius, Lithuania"
University of Bordeaux,"Talence, France"
Illinois Institute of Technology,"Chicago, United States"
Pontificia Universidad Javeriana,"Bogot??, Colombia"
The National University of Science and Technology MISIS,"Moscow, Russia"
Universidade Nova de Lisboa,"Lisbon, Portugal"
University of St.Gallen (HSG),"St. Gallen, Switzerland"
University of Coimbra,"Coimbra, Portugal"
Czech Technical University in Prague,"Prague, Czechia"
Pontificia Universidad Catolica del Peru,"Lima, Peru"
University of Florence,"Florence, Italy"
"The University of Tennessee, Knoxville","Knoxville, United States"
Xiamen University,"Xiamen, China"
Auckland University of Technology (AUT),"Auckland, New Zealand"
Julius-Maximilians-Universit??t W??rzburg,"W??rzburg, Germany"
Dublin City University,"Dublin, Ireland"
Ruhr-Universit??t Bochum,"Bochum, Germany"
Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia"
University of Johannesburg,"Johannesburg, South Africa"
Colorado State University,"Fort Collins, United States"
Universidad Austral,"Pilar, Argentina"
Universit??t Konstanz,"Konstanz, Germany"
Ben-Gurion University of The Negev,"Be'er Sheva, Israel"
Brandeis University,"Waltham, United States"
University of Science and Technology Beijing,"Beijing, China"
Beihang University (former BUAA),"Beijing, China"
"University of California, Riverside","Riverside, United States"
Universidad Polit??cnica de Madrid (UPM),"Madrid, Spain"
Universit??t des Saarlandes,"Saarbr??cken, Germany"
Universit?? de Li??ge,"Li??ge, Belgium"
Boston College,"Chestnut Hill, United States"
Quaid-i-Azam University,"Islamabad, Pakistan"
Dongguk University,"Seoul, South Korea"
Florida State University,"Tallahassee, United States"
Hasselt University,"Diepenbeek, Belgium"
Stellenbosch University,"Stellenbosch, South Africa"
The Catholic University of Korea,"Gyeonggi, South Korea"
University of Canberra,"Bruce, Australia"
James Cook University,"Townsville, Australia"
South China University of Technology,"Guangzhou, China"
Universidad ORT Uruguay,"Montevideo, Uruguay"
Ko?? University,"Istanbul, Turkey"
National Central University,"Taoyuan City, Taiwan"
Universidad de Belgrano,"Buenos Aires, Argentina"
University of Saskatchewan,"Saskatoon, Canada"
Yokohama City University,"Yokohama City, Japan"
Indian Institute of Technology Guwahati (IITG),"Guwahati, India"
Lappeenranta-Lahti University of Technology LUT,"Lappeenranta, Finland"
Martin-Luther-Universit??t Halle-Wittenberg,"Halle, Germany"
Rensselaer Polytechnic Institute,"Troy, United States"
Swansea University,"Swansea, United Kingdom"
Umm Al-Qura University,"Makkah, Saudi Arabia"
Western Sydney University,"Milperra, Australia"
Amirkabir University of Technology,"Tehran, Iran"
Concordia University,"Montreal, Canada"
National Technical University of Athens,"Athens, Greece"
University of Cyprus (UCY),"Nicosia, Cyprus"
V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine"
Wayne State University,"Detroit, United States"
Universit??t  Leipzig,"Leipzig, Germany"
"University of Missouri, Columbia","Columbia, United States"
Aberystwyth University,"Aberystwyth, United Kingdom"
Shandong University,"Jinan, China"
University of Stirling,"Stirling, United Kingdom"
Chiba University,"Chiba City, Japan"
National Taipei University of Technology,"Taipei City, Taiwan"
Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan"
Sogang University,"Seoul, South Korea"
Universidad de Montevideo (UM),"Montevideo, Uruguay"
Chang Gung University,"Taoyuan City, Taiwan"
Far Eastern Federal University,"Vladivostok, Russia"
Jilin University,"Changchun, China"
Southeast University,"Nanjing, China"
UNESP,"Sao Paulo, Brazil"
Universidad de La Habana,"Havana, Cuba"
Oregon State University,"Corvallis, United States"
Universidad de Alcal??,"Alcal?? de Henares, Spain"
University of Eastern Finland,"Kuopio, Finland"
Christian-Albrechts-University zu Kiel,"Kiel, Germany"
East China Normal University,"Shanghai, China"
Hitotsubashi University,"Kunitachi City, Japan"
The University of Georgia,"Athens, United States"
University of Granada,"Granada, Spain"
Universidad de Santiago de Chile (USACH),"Santiago, Chile"
Universidad de Zaragoza,"Zaragoza, Spain"
University of Balamand,"Beirut, Lebanon"
University of Connecticut,"Storrs, United States"
University of Delhi,"New Delhi, India"
University of Szeged,"Szeged, Hungary"
Aston University,"Birmingham, United Kingdom"
Singapore Management University,"Singapore, Singapore"
Universit?? Cattolica del Sacro Cuore,"Milan, Italy"
"University of Rome ""Tor Vergata""","Rome, Italy"
Aix-Marseille University,"Marseille, France"
Universit?? de Montpellier,"Montpellier, France"
University of Klagenfurt,"Klagenfurt, Austria"
University of Limerick,"Limerick, Ireland"
Warsaw University of Technology,"Warsaw, Poland"
Airlangga University,"Surabaya, Indonesia"
Imam Abdulrahman Bin Faisal University (IAU),"Dammam, Saudi Arabia"
National Research Saratov State University,"Saratov, Russia"
Sabanci University,"Istanbul, Turkey"
University of Turin,"Turin, Italy"
University of Bayreuth,"Bayreuth, Germany"
University of Debrecen,"Debrecen, Hungary"
University of Milano-Bicocca,"Milan, Italy"
University of Ulsan,"Ulsan, South Korea"
Bogor Agricultural University,"Bogor, Indonesia"
Inha University,"Incheon, South Korea"
Justus-Liebig-University Giessen,"Giessen, Germany"
Masaryk University,"Brno, Czechia"
Nagasaki University,"Nagasaki City, Japan"
Northwestern Polytechnical University,"Xi'an, China"
Sichuan University,"Chengdu, China"
"Universidad Central ""Marta Abreu"" de Las Villas","Santa Clara, Cuba"
Universiti Utara Malaysia (UUM),"Sintok, Malaysia"
University of Texas Dallas,"Richardson, United States"
York University,"Toronto, Canada"
Coventry University,"Coventry, United Kingdom"
Institut National des Sciences Appliqu??es de Lyon (INSA),"Lyon, France"
Iowa State University,"Ames, United States"
Niigata University,"Niigata City, Japan"
Osaka City University,"Osaka City, Japan"
Satbayev University,"Almaty, Kazakhstan"
Universit??t Bremen,"Bremen, Germany"
University Paris 2 Panth??on-Assas,
Saint Joseph University of Beirut (USJ),"Beirut, Lebanon"
University of Delaware,"Newark, United States"
Ajou University,"Suwon, South Korea"
Bar-Ilan University,"Ramat Gan, Israel"
Bilkent University,"Ankara, Turkey"
Hallym University,"Chuncheon, South Korea"
Konkuk University,"Seoul, South Korea"
Lebanese American University,"Byblos, Lebanon"
Lehigh University,"Bethlehem, United States"
Management and Science University,"Shah Alam, Malaysia"
Technische Universit??t Braunschweig,"Braunschweig, Germany"
Universit?? Paul Sabatier Toulouse III,"Toulouse, France"
Victoria University,"Melbourne, Australia"
Cairo University,"Giza, Egypt"
Kumamoto University,"Kumamoto City, Japan"
Kyungpook National University,"Daegu, South Korea"
The New School,"New York, United States"
Thammasat University,"Bangkok, Thailand"
Universidad Externado de Colombia,"Bogot??, Colombia"
University of Nebraska - Lincoln,"Lincoln, United States"
University of Pretoria,"Pretoria, South Africa"
Abo Akademi University,"Turku, Finland"
Altai State University,"Barnaul, Russia"
Aristotle University of Thessaloniki,"Thessaloniki, Greece"
China University of Geosciences,"Wuhan, China"
"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR China"
Murdoch University,"Murdoch, Australia"
Okayama University,"Okayama City, Japan"
Universidad de Costa Rica,"San Jose, Costa Rica"
Universidad Panamericana (UP),"Mexico City, Mexico"
University of Guelph,"Guelph, Canada"
University of South Carolina,"Columbia, United States"
Clark University,"Worcester, United States"
Karl-Franzens-Universitaet Graz,"Graz, Austria"
"Kingston University, London","Kingston upon Thames, United Kingdom"
National Chengchi University,"Taipei City, Taiwan"
Pusan National University,"Busan, South Korea"
Renmin (People's) University of China,"Beijing, China"
Universidad de Sevilla,"Seville, Spain"
University of Aveiro,"Aveiro, Portugal"
University of South Florida,"Tampa, United States"
Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia"
Dalian University of Technology,"Dalian, China"
Jeonbuk National University,"Jeonju, South Korea"
Kanazawa University,"Kanazawa, Japan"
Kazakh National Agrarian University KazNAU,"Almaty, Kazakhstan"
Palack?? University Olomouc,
Samara National Research University (Samara University),"Samara, Russia"
Southern Federal University,"Rostov-on-Don, Russia"
Universitat de Valencia,"Val??ncia, Spain"
University of Minho,"Braga, Portugal"
University of Tehran,"Tehran, Iran"
American University in Dubai,"Dubai, United Arab Emirates"
Ateneo de Manila University,"Quezon City, Philippines"
Bangor University,
Carleton University,"Ottawa, Canada"
Chiang Mai University,"Chiang Mai, Thailand"
Drexel University,"Philadelphia, United States"
East China University of Science and Technology,"Shanghai, China"
E??tv??s Lor??nd University,"Budapest, Hungary"
Gifu University,"Gifu City, Japan"
Holy Spirit University of Kaslik,"Jounieh, Lebanon"
Hunan University,"Changsha, China"
Indian Institute of Technology Hyderabad,"Sangareddy, India"
Instituto Tecnol??gico de Buenos Aires (ITBA),"Buenos Aires, Argentina"
International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia"
Iran University of Science and Technology,"Tehran, Iran"
Ivane Javakhishvili Tbilisi State University,Georgia
Jinan University (China),"Guangzhou, China"
Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan"
King Khalid University,"Abha, Saudi Arabia"
Free University of Bozen-Bolzano,"Bolzano, Italy"
Lobachevsky University,"Nizhny Novgorod, Russia"
Michigan Technological University,"Houghton, United States"
Middle East Technical University,"Ankara, Turkey"
Missouri University of Science and Technology,"Rolla, United States"
National Chung Hsing University,"Taichung City, Taiwan"
Shenzhen University,"Shenzhen, China"
Smith College,"Northampton, United States"
"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria"
Syracuse University,"Syracuse, United States"
Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine"
Tokushima University,"Tokushima City, Japan"
Tokyo University of Agriculture and Technology,"Tokyo, Japan"
Ulster University,"Coleraine, United Kingdom"
Universidad de Concepci??n,"Concepci??n, Chile"
University of Salamanca,"Salamanca, Spain"
Universit?? degli Studi di Pavia,"Pavia, Italy"
Universitat Ramon Llull,"Barcelona, Spain"
Universit??t Regensburg,"Regensburg, Germany"
Universit?? de Fribourg,"Fribourg, Switzerland"
Universit?? du Qu??bec,"Qu??bec, Canada"
Universit?? C??te d'Azur,France
University of Bradford,"Bradford, United Kingdom"
University of Cincinnati,"Cincinnati, United States"
University of Hull,"Hull, United Kingdom"
University of Jordan,"Amman, Jordan"
University of Kentucky,"Lexington, United States"
University of Ljubljana,"Ljubljana, Slovenia"
University of Manitoba,"Winnipeg, Canada"
University of New Mexico,"Albuquerque, United States"
University of Oregon,"Eugene, United States"
University of Portsmouth,"Portsmouth, United Kingdom"
University of Sharjah,United Arab Emirates
University of Vermont,"Burlington, United States"
American University,"Washington D.C., United States"
Applied Science University - Bahrain,"Al-Ekir, Bahrain"
Beijing University of Technology,"Beijing, China"
Bogazi??i ??niversitesi,"Istanbul, Turkey"
Brno University of Technology,"Brno, Czechia"
Central South University,
City University of New York,"New York City, United States"
Edith Cowan University,"Joondalup, Australia"
Howard University,"Washington D.C., United States"
Jadavpur University,"Kolkata, India"
Jordan University of Science & Technology,"Irbid, Jordan"
Kagoshima University,"Kagoshima City, Japan"
Lahore University of Management Sciences (LUMS),"Lahore, Pakistan"
Leibniz University Hannover,"Hanover, Germany"
National and Kapodistrian University of Athens,"Athens, Greece"
"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine"
Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom"
O.P. Jindal Global University,"Sonipat, India"
Osaka Prefecture University,"Osaka City, Japan"
Pavol Jozef ??af??rik University in Ko??ice,Slovakia
Philipps-Universit??t Marburg,"Marburg, Germany"
Pontif??cia Universidade Cat??lica do Rio de Janeiro,"Rio de Janeiro, Brazil"
Savitribai Phule Pune University,"Pune, India"
Sejong University,"Seoul, South Korea"
Soochow University,"Suzhou, China"
Tallinn University of Technology (TalTech),"Tallinn, Estonia"
Tokyo Metropolitan University,"Tokyo, Japan"
Universidad An??huac M??xico,"Huixquilucan, Mexico"
Universidad de Antioquia,"Medellin, Colombia"
Universidad ICESI,"Cali, Colombia"
Universidad Nacional de La Plata (UNLP),"La Plata, Argentina"
Universidad Pontificia Bolivariana,"Medell??n, Colombia"
Universidad Pontificia Comillas,"Madrid, Spain"
Universidad Torcuato Di Tella,"Buenos Aires, Argentina"
Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil"
University of Genoa,"Genoa, Italy"
University of Siena,"Siena, Italy"
University of Hohenheim,"Stuttgart, Germany"
Universiti Teknologi MARA - UiTM,"Shah Alam, Malaysia"
University of Denver,"Denver, United States"
University of Hyderabad,"Hyderabad, India"
University of Massachusetts Boston,"Boston, United States"
University of Mons,"Mons, Belgium"
University of Oklahoma,"Norman, United States"
University of Pecs,"P??cs, Hungary"
University of Plymouth,"Plymouth, United Kingdom"
University of Westminster,"London, United Kingdom"
Vilnius Gediminas Technical University (VILNIUS TECH),"Vilnius, Lithuania"
Virginia Commonwealth University,"Richmond, United States"
College of William and Mary,"Williamsburg, United States"
Abu Dhabi University,"Abu Dhabi, United Arab Emirates"
Ajman University,"Ajman, United Arab Emirates"
Charles Darwin University,"Casuarina, Australia"
China Agricultural University,"Beijing, China"
Chonnam National University,"Gwangju, South Korea"
Comenius University in Bratislava,"Bratislava, Slovakia"
Gunma University,"Maebashi, Japan"
Instituto Polit??cnico Nacional (IPN),"Ciudad de M??xico, Mexico"
Instituto Tecnol??gico Aut??nomo de M??xico (ITAM),"Mexico City, Mexico"
Kansas State University,"Manhattan, United States"
Kaohsiung Medical University,"Kaohsiung City, Taiwan"
Keele University,"Keele, United Kingdom"
Lebanese University,"Beirut, Lebanon"
Louisiana State University,"Baton Rouge, United States"
Macau University of Science and Technology,
Maynooth University,"Maynooth, Ireland"
Memorial University of Newfoundland,"St. John's, Canada"
Mendel University in Brno,"Brno, Czechia"
Middlesex University,"London, United Kingdom"
Nanjing University of Science and Technology,"Nanjing, China"
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine"
Notre Dame University-Louaize NDU,"Koura, Lebanon"
Riga Technical University,"Riga, Latvia"
Saint Petersburg Electrotechnical University ETU-LETI,"St. Petersburg, Russia"
Southern Methodist University,"Dallas, United States"
Stevens Institute of Technology,"Hoboken, United States"
Sumy State University,"Sumy, Ukraine"
Sunway University,"Petaling Jaya, Malaysia"
Temple University,"Philadelphia, United States"
Universidad Adolfo Ib????ez,"Santiago, Chile"
Universidad de San Andr??s - UdeSA,"Buenos Aires, Argentina"
Universidad Iberoamericana IBERO,"Mexico City, Mexico"
Universidad Peruana Cayetano Heredia (UPCH),"San Martin, Peru"
Universidade de Santiago de Compostela,"Santiago de Compostela, Spain"
Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil"
University of Trieste,"Trieste, Italy"
Universit??t Rostock,"Rostock, Germany"
Universit?? Claude Bernard Lyon 1,"Villeurbanne, France"
Universit?? de Sherbrooke,"Sherbrooke, Canada"
Universiti Tenaga Nasional (UNITEN),"Kajang, Malaysia"
University of Central Florida,"Orlando, United States"
University of Electronic Science and Technology of China,"Chengdu, China"
University of Greenwich,
University of Haifa,"Haifa, Israel"
University of Houston,"Houston, United States"
University of Huddersfield,"Huddersfield, United Kingdom"
"University of Maryland, Baltimore County","Baltimore, United States"
University of Southern Queensland,"Toowoomba, Australia"
Worcester Polytechnic Institute,"Worcester, United States"
Zayed University,"Abu Dhabi, ?United Arab Emirates"
Beijing Jiaotong University,"Beijing, China"
Bournemouth University,"Poole, United Kingdom"
Chongqing University,"Chongqing, China"
Chungnam National University,"Daejeon, South Korea"
Clarkson University,"Potsdam, United States"
Dankook University,"Seoul, South Korea"
Florida International University,"Miami, United States"
Georgia State University,"Atlanta, United States"
Indiana University?€?Purdue University Indianapolis,"Indianapolis, United States"
Istanbul Technical University,"Maslak-Istanbul, Turkey"
Jamia Millia Islamia,India
Kazakh-British Technical University,"Almaty, Kazakhstan"
NJSC KIMEP University,"Almaty, Kazakhstan"
London South Bank University,"London, United Kingdom"
"Manipal Academy of Higher Education, Manipal, Karnataka, India","Manipal, India"
New Jersey Institute of Technology (NJIT),"Newark, United States"
Northwest University (China),"Xi'an, China"
Nottingham Trent University,"Nottingham, United Kingdom"
Oklahoma State University,"Stillwater, United States"
Paris Lodron University of Salzburg,"Salzburg , Austria"
Plekhanov Russian University of Economics,"Moscow, Russia"
Politecnico di Bari,"Bari, Italy"
Prince Mohammad Bin Fahd university,"Al Khobar, Saudi Arabia"
Universitat Rovira i Virgili,"Tarragona, Spain"
Rutgers University?€?Newark,"Newark, United States"
Institut Teknologi Sepuluh Nopember (ITS Surabaya),"Surabaya, Indonesia"
Southern Cross University,"Lismore, Australia"
Technical University of Liberec,"Liberec, Czechia"
Tokyo University of Science,"Kagurazaka, Japan"
Universidad Central de Venezuela,"Caracas, Venezuela"
Universidad de Guadalajara (UDG),"Guadalajara, Mexico"
Universidad de La Sabana,"Bogot??, Colombia"
Universidad San Francisco de Quito (USFQ),"Quito, Ecuador"
University of the Basque Country,"Leioa, Spain"
Universidad del Rosario,"Bogot??, Colombia"
Ca' Foscari University of Venice,"Venice, Italy"
University of Modena and Reggio Emilia,"Modena, Italy"
Universit?? degli Studi di Perugia,"Perugia, Italy"
Universit??t Duisburg-Essen,"Duisburg, Germany"
University Duesseldorf,"D??sseldorf, Germany"
Universit?? de Lille,France
Universiti Malaysia Pahang,"Kuantan, Malaysia"
University at Albany SUNY,"Albany, United States"
University of Brescia,"Brescia, Italy"
University of Patras,"Patras, Greece"
University of Seoul,"Seoul, South Korea"
University of Tulsa,"Tulsa, United States"
University of Windsor,"Windsor, Canada"
"Adam Mickiewicz University, Pozna??","Pozna??, Poland"
American University of the Middle East,"Egaila, Kuwait"
AGH University of Science and Technology,"Krakow, Poland"
Ain Shams University,"Cairo, Egypt"
Alexandria University,"Alexandria, Egypt"
Aligarh Muslim University,"Aligarh, India"
Amrita Vishwa Vidyapeetham,"Amritapuri, India"
Ankara ??niversitesi,"Ankara, Turkey"
Anna University,"Chennai, India"
Athens University of Economics and Business,"Athens, Greece"
Auburn University,"Auburn, United States"
Australian Catholic University,"Melbourne, Australia"
Babes-Bolyai University,"Cluj-Napoca, Romania"
Bangladesh University of Engineering and Technology,"Dhaka, Bangladesh"
Baylor University,"Waco, United States"
Beijing Foreign Studies University,"Beijing, China"
Beirut Arab University,"Beirut, Lebanon"
Belarusian National Technical University (BNTU),"Minsk, Belarus"
Bina Nusantara University (BINUS),"Jakarta, Indonesia"
Binghamton University SUNY,"Binghamton, United States"
Birmingham City University,"Birmingham, United Kingdom"
Budapest University of Technology and Economics,"Budapest, Hungary"
Charles Sturt University,"Thurgoona, Australia"
Clemson University,"Clemson, United States"
COMSATS University Islamabad,"Islamabad, Pakistan"
Corvinus University of Budapest,"Budapest, Hungary"
Cracow University of Technology (Politechnika Krakowska),"Krakow, Poland"
Czech University of Life Sciences in Prague,
De La Salle University,"Manila, Philippines"
De Montfort University,"Leicester, United Kingdom"
Edinburgh Napier University,"Edinburgh, United Kingdom"
Escuela Polit??cnica Nacional,Ecuador
Fordham University,"New York City, United States"
Gda??sk University of Technology,"Gda??sk, Poland"
George Mason University,"Fairfax, United States"
German Jordanian University,Jordan
Glasgow Caledonian University,"Glasgow, United Kingdom"
Gulf University for Science and Technology,"Kuwait City, Kuwait"
Hacettepe University,"Ankara, Turkey"
Harbin Engineering University,"Harbin, China"
Islamic University of Madinah,"Medina, Saudi Arabia"
Istanbul University,"Istanbul, Turkey"
Karaganda State Technical University,"Karaganda, Kazakhstan"
Kasetsart University,"Bangkok, Thailand"
Kaunas University of Technology,"Kaunas, Lithuania"
Kazakh Ablai Khan University of International Relations and World Languages,"Almaty, Kazakhstan"
Kent State University,"Kent, United States"
Khon Kaen University,"Khon Kaen, Thailand"
King Faisal University,"Hofuf, Saudi Arabia"
King Mongkut's University of Technology Thonburi,"Bangkok, Thailand"
Kuwait University,"Kuwait City, Kuwait"
Kyoto Institute of Technology,"Kyoto, Japan"
Kyushu Institute of Technology,"Kitakyushu, Japan"
Lanzhou University,"Lanzhou, China"
Liverpool John Moores University,"Liverpool , United Kingdom"
Lodz University of Technology,"Lodz, Poland"
London Metropolitan University,"London, United Kingdom"
Loyola University Chicago,"Chicago, United States"
Manchester Metropolitan University (MMU),"Manchester , United Kingdom"
Multimedia University (MMU),"Cyberjaya, Malaysia"
Nagoya Institute of Technology (NIT),"Nagoya, Japan"
National Chung Cheng University,"Minxiong Township, Taiwan"
